Iteration,Elapsed_ms
0,3.538983
1,3.286528
2,3.290766
3,3.558050
4,3.827919
5,4.003965
6,3.259556
7,3.353847
8,3.262372
9,3.301556
10,3.236292
11,3.308100
12,3.228426
13,3.225080
14,3.269385
15,3.237022
16,4.414678
17,3.871952
18,3.457016
19,3.222735
20,3.241201
21,3.157089
22,3.208588
23,3.435324
24,3.215933
25,3.232775
26,3.254016
27,3.167860
28,3.488526
29,3.551898
30,3.520577
31,3.251340
32,3.133464
33,3.329000
34,3.175254
35,3.142401
36,3.108556
37,3.112644
38,3.518825
39,3.520077
40,3.461634
41,3.402231
42,3.100240
43,3.402651
44,3.150937
45,3.076424
46,3.044743
47,3.203198
48,3.267651
49,3.071795
50,3.085641
51,3.067187
52,3.138413
53,3.039033
54,3.051516
55,3.031047
56,3.004366
57,3.116020
58,3.027751
59,2.978044
60,3.035135
61,2.976281
62,3.052758
63,2.976933
64,3.031117
65,2.952836
66,2.960641
67,3.002102
68,3.140958
69,2.985279
70,2.970871
71,2.951444
72,2.981942
73,2.979628
74,2.967605
75,2.939100
76,2.939751
77,2.936164
78,3.088076
79,2.909142
80,2.929852
81,2.925754
82,2.986130
83,2.951123
84,2.912108
85,2.888613
86,2.883403
87,2.923931
88,2.891548
89,2.871360
90,2.857844
91,2.913891
92,2.860990
93,2.876309
94,3.310794
95,3.046336
96,2.849698
97,2.858385
98,2.965140
99,2.994657
100,2.880858
101,2.844137
102,2.826043
103,2.858655
104,3.052348
105,3.114948
106,2.841954
107,6.949740
108,5.045630
109,3.228135
110,3.163281
111,3.141218
112,3.259306
113,3.059402
114,2.809651
115,2.798179
116,2.791016
117,2.808599
118,3.174122
119,3.287109
120,3.003403
121,2.779654
122,2.871490
123,2.755807
124,2.713938
125,2.770767
126,2.739156
127,2.724828
128,2.749225
129,2.751720
130,2.691544
131,2.735809
132,2.706754
133,2.749115
134,2.874106
135,2.761058
136,2.807026
137,3.094118
138,2.707525
139,2.805032
140,2.767590
141,2.685703
142,2.756088
143,2.696685
144,2.699028
145,2.754295
146,2.688989
147,2.709970
148,2.715770
149,2.689911
150,2.633593
151,2.705040
152,2.632571
153,2.685793
154,2.705972
155,2.741551
156,2.629745
157,2.690583
158,2.621750
159,2.642650
160,2.673099
161,2.658080
162,2.646487
163,4.769589
164,2.599447
165,2.633643
166,2.687186
167,2.695051
168,2.621740
169,2.628884
170,2.562627
171,2.574039
172,2.580290
173,2.860970
174,2.651097
175,2.557867
176,2.538901
177,2.604156
178,2.552597
179,2.735800
180,2.573316
181,2.594137
182,2.518842
183,2.541846
184,2.521507
185,2.560473
186,2.634324
187,2.603926
188,2.546065
189,2.502491
190,2.523891
191,2.499856
192,2.582685
193,2.521427
194,2.489987
195,2.497441
196,2.524713
197,2.485307
198,2.482542
199,2.637470
200,2.522480
201,2.483765
202,2.463886
203,2.486610
204,2.497652
205,2.636909
206,2.586593
207,2.469878
208,2.476280
209,2.462253
210,2.443828
211,2.549391
212,2.501399
213,2.461161
214,2.428058
215,2.427086
216,2.472273
217,2.429791
218,2.500457
219,2.430061
220,2.454919
221,2.411245
222,2.438849
223,4.388557
224,2.780137
225,3.025476
226,2.428238
227,2.671125
228,2.775545
229,3.008003
230,2.547979
231,2.516387
232,2.402468
233,2.447134
234,2.395175
235,2.569900
236,2.388472
237,2.548329
238,2.393331
239,2.426505
240,2.371208
241,2.521866
242,2.404402
243,2.397289
244,2.612923
245,2.727824
246,2.678308
247,3.762172
248,3.569732
249,2.680844
250,2.582354
251,2.326212
252,2.339288
253,2.649374
254,2.761128
255,2.439900
256,2.486160
257,2.452655
258,2.375316
259,2.615037
260,2.665745
261,2.708677
262,2.674833
263,2.628824
264,2.568948
265,3.439020
266,2.494786
267,2.306394
268,2.342914
269,2.517610
270,2.321794
271,2.418931
272,2.324018
273,2.285604
274,2.321442
275,2.273010
276,2.416094
277,2.381788
278,2.450090
279,2.261928
280,2.338255
281,2.378783
282,2.276246
283,2.385497
284,2.449701
285,2.433248
286,2.545704
287,2.520115
288,2.556284
289,3.534414
290,2.943307
291,2.247170
292,2.268180
293,2.234867
294,2.260565
295,2.278730
296,3.141519
297,2.305492
298,2.254995
299,2.256418
300,2.208496
301,2.219246
302,2.227953
303,4.078571
304,2.276566
305,2.223664
306,2.235217
307,2.214277
308,2.197114
309,2.414241
310,2.582053
311,2.223515
312,2.183909
313,2.180802
314,2.174851
315,2.200360
316,2.232993
317,2.292067
318,2.394654
319,2.196703
320,2.159221
321,2.167587
322,2.193326
323,2.248242
324,2.199728
325,2.471261
326,2.503573
327,2.338545
328,2.249575
329,2.142789
330,2.183758
331,2.272689
332,2.182916
333,2.167156
334,2.126528
335,2.135305
336,2.126999
337,2.401487
338,2.469377
339,2.426264
340,2.295232
341,2.154512
342,2.132299
343,2.158770
344,2.416105
345,2.148289
346,2.138721
347,2.133091
348,2.136527
349,2.102922
350,2.141236
351,2.877371
352,2.576244
353,2.102342
354,2.250467
355,2.159311
356,2.116628
357,2.350910
358,2.877911
359,2.581432
360,2.448687
361,2.404763
362,2.377571
363,2.471341
364,2.381909
365,2.382650
366,2.387620
367,2.443929
368,2.195000
369,2.172787
370,2.112101
371,2.533573
372,2.178838
373,2.054309
374,2.098865
375,2.131748
376,2.299521
377,2.062455
378,2.186163
379,2.078335
380,2.060190
381,2.084237
382,2.108543
383,2.170172
384,2.194048
385,2.068186
386,2.863346
387,2.035212
388,2.044521
389,2.039250
390,2.066743
391,2.144352
392,2.053498
393,2.703416
394,2.350508
395,2.333586
396,2.315752
397,2.431214
398,2.366710
399,3.273453
400,2.259604
401,2.023179
402,2.010966
403,2.051304
404,2.005245
405,2.012900
406,2.086462
407,2.041395
408,2.019692
409,1.994284
410,1.999924
411,2.031305
412,1.982060
413,2.009724
414,2.121217
415,2.010966
416,2.120637
417,2.226390
418,2.285493
419,2.292578
420,2.258813
421,2.270785
422,2.119104
423,1.992360
424,2.005044
425,2.026305
426,1.987391
427,2.039481
428,2.200140
429,2.277539
430,2.032598
431,2.242882
432,2.263732
433,2.192705
434,2.020966
435,1.986368
436,2.524993
437,2.117082
438,2.038358
439,2.030033
440,2.159501
441,2.192134
442,2.159942
443,2.327114
444,2.349666
445,2.674934
446,2.237972
447,2.232893
448,2.280815
449,2.258582
450,2.617620
451,2.276716
452,2.247651
453,2.054359
454,2.035613
455,1.999734
456,1.987752
457,2.193907
458,2.306544
459,2.910756
460,3.052227
461,2.142819
462,2.167317
463,2.285755
464,2.133442
465,2.176534
466,2.327443
467,2.676926
468,1.987170
469,1.977191
470,2.124064
471,2.019822
472,1.980488
473,1.984325
474,2.093705
475,2.052406
476,2.006367
477,1.961350
478,2.392419
479,2.103504
480,1.976330
481,2.043098
482,2.259524
483,2.134744
484,2.187185
485,2.454851
486,2.129574
487,2.244856
488,2.214216
489,2.270024
490,2.189829
491,2.003131
492,2.044681
493,2.246649
494,2.199639
495,2.258682
496,2.202433
497,2.151215
498,2.164240
499,2.857152
500,1.996798
501,2.000626
502,1.992821
503,1.982471
504,2.019482
505,2.107020
506,2.059079
507,2.285063
508,2.225278
509,1.977702
510,1.987420
511,1.985948
512,1.973193
513,2.138561
514,2.094356
515,2.254273
516,2.200330
517,2.160975
518,2.191273
519,2.062926
520,1.990336
521,2.328908
522,2.310612
523,2.212503
524,2.232232
525,2.191283
526,2.177266
527,2.262780
528,4.442572
529,2.126488
530,2.036105
531,2.116178
532,2.294922
533,2.206812
534,2.348243
535,2.304891
536,1.990286
537,2.008401
538,1.989756
539,1.978604
540,2.070690
541,1.979675
542,2.301656
543,2.604697
544,2.316852
545,2.002279
546,1.989605
547,2.048047
548,1.967382
549,2.389514
550,2.058817
551,2.086321
552,1.990377
553,1.958064
554,1.984706
555,1.962523
556,1.955389
557,2.452977
558,2.647240
559,5.997488
560,2.077533
561,2.099095
562,2.095158
563,2.040653
564,1.970918
565,2.028439
566,1.998833
567,1.971870
568,1.971590
569,1.996187
570,2.100037
571,2.009233
572,1.983944
573,2.043930
574,2.010435
575,1.968024
576,2.004874
577,1.973153
578,2.087743
579,1.942173
580,1.956451
581,2.263160
582,1.969656
583,1.962632
584,1.987200
585,1.954697
586,2.020975
587,1.962222
588,1.962011
589,2.011487
590,1.962182
591,2.003091
592,1.953105
593,1.990376
594,1.963134
595,1.961481
596,1.992610
597,1.965518
598,1.961952
599,1.968143
600,1.961490
601,2.004824
602,1.972021
603,1.965408
604,2.012198
605,1.949898
606,2.017919
607,1.964627
608,1.962323
609,2.019723
610,1.988052
611,1.994805
612,1.963264
613,1.983082
614,1.962103
615,1.967222
616,1.984225
617,1.971049
618,2.061223
619,1.970067
620,2.030904
621,1.998492
622,1.987621
623,1.963144
624,1.969056
625,2.050121
626,1.997109
627,1.964347
628,1.970638
629,1.962633
630,1.962603
631,2.008481
632,1.959928
633,1.970017
634,2.004885
635,1.965097
636,2.004443
637,1.961851
638,1.963465
639,1.969296
640,1.985917
641,2.003141
642,1.979485
643,1.969196
644,1.969166
645,1.959958
646,1.952413
647,1.985137
648,2.026866
649,2.024532
650,1.978674
651,1.968324
652,2.005506
653,1.962974
654,1.965248
655,1.961400
656,1.985537
657,2.047256
658,1.970489
659,1.963485
660,1.984595
661,1.964817
662,1.996148
663,1.960539
664,1.967633
665,2.027077
666,1.966781
667,1.986008
668,1.964978
669,1.965749
670,1.979756
671,1.965077
672,2.101580
673,2.140755
674,1.989525
675,1.966521
676,1.972232
677,2.001698
678,1.963425
679,1.983443
680,2.082644
681,2.099095
682,2.117551
683,1.981089
684,1.978984
685,1.962643
686,1.973163
687,2.018040
688,2.210419
689,1.971710
690,1.974456
691,1.986298
692,1.975006
693,1.959958
694,1.964927
695,2.045111
696,1.989225
697,1.984665
698,1.965289
699,1.974626
700,1.963374
701,1.969507
702,1.979576
703,1.976079
704,1.986559
705,1.966210
706,1.986539
707,1.991628
708,1.962563
709,2.264545
710,2.043759
711,2.220016
712,2.078847
713,2.009373
714,2.274954
715,2.169901
716,1.992891
717,1.968805
718,2.841121
719,2.334568
720,1.977292
721,2.005355
722,2.129424
723,2.034772
724,1.971360
725,2.040673
726,1.985387
727,1.956671
728,1.954487
729,1.953295
730,2.080810
731,2.086962
732,1.984064
733,2.023479
734,2.024251
735,2.043248
736,1.995126
737,1.984144
738,2.431375
739,3.031399
740,2.236529
741,2.183538
742,2.217273
743,2.210119
744,2.272118
745,2.274683
746,2.083425
747,2.954358
748,2.047616
749,2.014152
750,1.959266
751,2.013331
752,2.002941
753,2.126387
754,2.553239
755,2.665946
756,1.993161
757,1.980768
758,2.028630
759,1.976389
760,1.993121
761,2.164451
762,2.238894
763,1.953796
764,1.972652
765,1.967963
766,1.975197
767,2.015454
768,1.971379
769,2.137939
770,2.217313
771,1.996918
772,2.008601
773,1.979526
774,1.982852
775,1.973935
776,1.974786
777,2.161536
778,2.032969
779,1.990577
780,2.023059
781,1.979084
782,2.059699
783,1.980237
784,1.954457
785,2.121117
786,2.065401
787,2.023039
788,1.955749
789,1.986419
790,1.988382
791,1.978222
792,2.082033
793,2.217403
794,2.102161
795,2.221410
796,2.216902
797,2.226481
798,2.216291
799,2.474175
800,2.171575
801,2.146576
802,2.022227
803,2.152508
804,2.182305
805,2.277448
806,2.330770
807,2.253612
808,2.310832
809,2.120226
810,2.220479
811,2.232703
812,2.206402
813,3.407010
814,2.031776
815,2.129143
816,2.115727
817,2.255726
818,2.217222
819,2.225759
820,3.073027
821,2.393142
822,2.276256
823,2.173197
824,2.188857
825,2.177506
826,2.236149
827,2.174781
828,2.163459
829,2.202244
830,2.239155
831,2.275383
832,2.258542
833,2.221982
834,2.299410
835,2.224867
836,2.235438
837,2.204418
838,2.149914
839,2.182927
840,2.327164
841,2.995147
842,2.225939
843,2.266116
844,2.240698
845,2.151307
846,2.160113
847,2.515034
848,2.624135
849,2.023380
850,1.983132
851,1.966060
852,2.018611
853,2.138752
854,1.991659
855,2.259345
856,2.204047
857,2.173598
858,2.170913
859,2.228484
860,2.254865
861,2.279522
862,2.135245
863,2.233714
864,2.195691
865,2.195360
866,2.227763
867,2.314900
868,2.082103
869,2.328024
870,2.031445
871,2.029071
872,2.021035
873,2.024431
874,2.003893
875,2.121348
876,2.190092
877,2.231931
878,2.175082
879,2.170512
880,2.211090
881,2.246810
882,2.165153
883,3.063598
884,2.007750
885,2.035592
886,2.000746
887,1.998653
888,1.988493
889,2.053027
890,2.014823
891,3.130859
892,1.969877
893,1.965398
894,1.970398
895,2.053607
896,1.992991
897,1.978904
898,2.235096
899,2.229196
900,2.273871
901,2.222443
902,2.220298
903,2.283941
904,2.222793
905,2.177446
906,2.191904
907,2.244826
908,2.211722
909,2.269903
910,2.253212
911,2.217122
912,2.140084
913,2.076161
914,2.108754
915,2.225228
916,2.302386
917,2.244124
918,2.223604
919,2.336100
920,2.262399
921,2.201863
922,2.158539
923,1.987902
924,1.993443
925,1.989795
926,2.348455
927,2.019362
928,1.990958
929,2.121258
930,2.043899
931,1.977482
932,2.020715
933,2.009122
934,2.569279
935,2.219707
936,2.250767
937,2.106179
938,2.206382
939,2.241880
940,2.218635
941,2.263321
942,2.211682
943,2.195711
944,2.198747
945,2.175183
946,2.239185
947,2.233263
948,2.184799
949,2.029741
950,2.062785
951,2.005265
952,2.201582
953,2.074109
954,2.162417
955,2.335709
956,2.309329
957,2.365798
958,2.463847
959,2.724460
960,2.124082
961,2.112312
962,2.170152
963,2.039130
964,2.119083
965,2.032718
966,2.230628
967,2.651377
968,2.093545
969,3.564423
970,2.246489
971,2.100528
972,2.168719
973,2.026877
974,2.121097
975,1.987090
976,2.164451
977,2.012489
978,1.992360
979,1.981059
980,1.986028
981,2.047075
982,2.217964
983,2.007509
984,2.043749
985,2.053517
986,1.985507
987,2.027558
988,1.986720
989,2.006086
990,2.182345
991,2.101580
992,2.139312
993,1.994334
994,1.995496
995,1.994935
996,2.014803
997,1.988012
998,2.060271
999,2.252831
